frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.46, 0.00, 0.00, 0.00, 0.52, 0.00, 0.29, 0.00, 0.13, 0.00, 0.00, 0.89, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2, 0, 0.033, 0.98, 1, 0.15, 0.06, 0.00, 0.00, 0.00, 0.47, 0.00, 0.00, 0.21, 0.60, 0.00, 0.14, 0.00, 0.04, 0.05, 0.19, 1.47, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
3, 0, 0.067, 0.98, 1, 0.31, 0.12, 0.00, 0.00, 0.00, 0.42, 0.00, 0.00, 0.25, 0.62, 0.03, 0.05, 0.00, 0.00, 0.18, 0.41, 1.83, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
4, 0, 0.100, 0.98, 1, 0.48, 0.27, 0.00, 0.00, 0.00, 0.32, 0.00, 0.00, 0.14, 0.54, 0.03, 0.03, 0.05, 0.00, 0.48, 0.66, 1.92, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
5, 0, 0.133, 0.98, 1, 0.48, 0.41, 0.00, 0.00, 0.00, 0.20, 0.00, 0.00, 0.05, 0.47, 0.07, 0.00, 0.12, 0.00, 0.84, 0.94, 1.90, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
6, 0, 0.167, 0.98, 1, 0.47, 0.67, 0.00, 0.00, 0.00, 0.16, 0.00, 0.00, 0.00, 0.43, 0.14, 0.00, 0.19, 0.00, 1.13, 1.22, 1.85, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
7, 0, 0.200, 0.98, 1, 0.37, 0.87, 0.00, 0.00, 0.00, 0.10, 0.00, 0.00, 0.00, 0.41, 0.13, 0.00, 0.18, 0.00, 1.30, 1.55, 1.82, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
8, 0, 0.233, 0.98, 1, 0.23, 0.88, 0.00, 0.00, 0.00, 0.10, 0.00, 0.00, 0.00, 0.36, 0.10, 0.00, 0.11, 0.00, 1.31, 1.63, 1.76, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00
9, 0, 0.267, 0.98, 1, 0.09, 0.80, 0.00, 0.00, 0.00, 0.04, 0.00, 0.00, 0.00, 0.28, 0.00, 0.00, 0.05, 0.00, 1.18, 1.62, 1.74, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00
10, 0, 0.300, 0.98, 1, 0.00, 0.47, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.16, 0.00, 0.00, 0.01, 0.00, 0.84, 1.44, 1.78, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00
