frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.88, 1, 0.00, 0.21, 0.61, 0.08, 0.86, 0.00, 0.00, 0.46, 0.41, 0.43, 0.00, 0.00, 0.26, 0.02, 0.47, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
2, 0, 0.040, 0.93, 1, 0.59, 0.81, 1.20, 0.03, 1.14, 0.28, 0.00, 0.45, 0.44, 0.67, 0.03, 0.67, 0.50, 0.07, 0.68, 0.25, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
3, 0, 0.080, 0.98, 1, 0.89, 1.19, 1.31, 0.00, 1.24, 0.45, 0.00, 0.44, 0.50, 0.74, 0.03, 0.91, 0.68, 0.06, 0.83, 0.38, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
4, 0, 0.120, 0.88, 1, 0.88, 1.19, 0.93, 0.00, 1.12, 0.49, 0.00, 0.55, 0.59, 0.50, 0.00, 0.72, 0.76, 0.03, 0.94, 0.38, 0.08, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
5, 0, 0.160, 0.88, 1, 0.77, 1.04, 0.75, 0.00, 1.04, 0.54, 0.00, 0.69, 0.62, 0.38, 0.00, 0.61, 0.69, 0.04, 0.93, 0.48, 0.18, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
6, 0, 0.200, 0.88, 1, 0.64, 0.74, 0.73, 0.00, 0.96, 0.54, 0.00, 0.68, 0.65, 0.42, 0.00, 0.45, 0.45, 0.17, 0.83, 0.53, 0.18, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
7, 0, 0.240, 0.88, 1, 0.59, 0.70, 0.81, 0.00, 0.94, 0.50, 0.00, 0.52, 0.67, 0.63, 0.00, 0.33, 0.31, 0.28, 0.73, 0.54, 0.10, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
8, 0, 0.280, 0.88, 1, 0.62, 0.63, 0.88, 0.00, 0.93, 0.32, 0.00, 0.40, 0.68, 0.77, 0.00, 0.30, 0.18, 0.38, 0.63, 0.50, 0.01, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
9, 0, 0.320, 0.88, 1, 0.83, 0.76, 0.86, 0.00, 0.95, 0.24, 0.00, 0.39, 0.62, 0.75, 0.00, 0.25, 0.31, 0.38, 0.83, 0.63, 0.04, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
10, 0, 0.360, 0.88, 1, 0.92, 0.69, 0.84, 0.00, 0.94, 0.15, 0.00, 0.34, 0.55, 0.74, 0.00, 0.24, 0.42, 0.37, 0.96, 0.74, 0.07, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
11, 0, 0.400, 0.88, 1, 0.92, 0.84, 0.86, 0.00, 0.94, 0.27, 0.00, 0.23, 0.48, 0.66, 0.00, 0.16, 0.52, 0.42, 1.14, 0.73, 0.11, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
12, 0, 0.440, 0.88, 1, 0.70, 0.73, 0.94, 0.00, 0.95, 0.39, 0.00, 0.21, 0.46, 0.54, 0.00, 0.17, 0.52, 0.50, 1.09, 0.62, 0.25, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
13, 0, 0.480, 0.88, 1, 0.57, 0.66, 0.98, 0.00, 0.97, 0.59, 0.00, 0.20, 0.46, 0.47, 0.00, 0.19, 0.47, 0.56, 1.05, 0.53, 0.36, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
14, 0, 0.520, 0.88, 1, 0.54, 0.57, 0.89, 0.00, 1.04, 0.40, 0.00, 0.26, 0.50, 0.51, 0.00, 0.14, 0.42, 0.61, 1.06, 0.57, 0.31, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
15, 0, 0.560, 0.88, 1, 0.69, 0.65, 0.85, 0.12, 1.03, 0.20, 0.00, 0.19, 0.48, 0.68, 0.00, 0.10, 0.36, 0.62, 1.09, 0.56, 0.14, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
16, 0, 0.600, 0.88, 1, 0.86, 0.72, 0.83, 0.33, 1.12, 0.03, 0.00, 0.29, 0.47, 0.70, 0.00, 0.00, 0.37, 0.54, 1.16, 0.63, 0.04, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
17, 0, 0.640, 0.88, 1, 0.92, 0.62, 0.95, 0.57, 1.14, 0.18, 0.00, 0.36, 0.41, 0.76, 0.00, 0.00, 0.42, 0.42, 1.10, 0.64, 0.09, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
