frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.93, 1, 0.00, 0.00, 0.63, 0.00, 0.00, 1.09, 0.22, 0.77, 0.45, 0.00, 0.15, 0.24, 0.00, 0.16, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2, 0, 0.033, 0.98, 1, 0.11, 0.00, 0.75, 0.00, 0.00, 1.20, 0.21, 0.76, 0.45, 0.00, 0.07, 0.27, 0.00, 0.13, 0.00, 0.21, 0.03, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3, 0, 0.067, 0.98, 1, 0.20, 0.00, 0.78, 0.00, 0.00, 1.27, 0.21, 0.71, 0.44, 0.00, 0.02, 0.30, 0.00, 0.13, 0.00, 0.39, 0.05, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4, 0, 0.100, 0.98, 1, 0.14, 0.00, 0.72, 0.00, 0.00, 1.13, 0.22, 0.74, 0.37, 0.00, 0.06, 0.27, 0.00, 0.10, 0.00, 0.49, 0.05, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5, 0, 0.133, 0.98, 1, 0.10, 0.00, 0.71, 0.00, 0.00, 1.03, 0.20, 0.78, 0.35, 0.00, 0.11, 0.23, 0.00, 0.05, 0.00, 0.55, 0.02, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6, 0, 0.167, 0.98, 1, 0.01, 0.00, 0.65, 0.00, 0.00, 0.89, 0.17, 0.89, 0.35, 0.00, 0.20, 0.14, 0.00, 0.00, 0.00, 0.63, 0.15, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7, 0, 0.200, 0.98, 1, 0.00, 0.00, 0.64, 0.00, 0.00, 0.66, 0.11, 0.89, 0.38, 0.00, 0.21, 0.08, 0.00, 0.00, 0.00, 0.65, 0.31, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
8, 0, 0.234, 0.93, 1, 0.00, 0.00, 0.54, 0.00, 0.00, 0.58, 0.05, 0.83, 0.39, 0.00, 0.23, 0.06, 0.00, 0.00, 0.00, 0.71, 0.54, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
9, 0, 0.267, 0.93, 1, 0.00, 0.00, 0.61, 0.00, 0.00, 0.63, 0.01, 0.74, 0.37, 0.00, 0.19, 0.14, 0.00, 0.00, 0.00, 0.68, 0.56, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
10, 0, 0.300, 0.98, 1, 0.00, 0.00, 0.63, 0.00, 0.00, 0.96, 0.02, 0.87, 0.34, 0.00, 0.28, 0.22, 0.00, 0.00, 0.07, 0.66, 0.49, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
11, 0, 0.334, 0.93, 1, 0.00, 0.00, 0.76, 0.00, 0.00, 1.30, 0.02, 1.00, 0.32, 0.00, 0.36, 0.34, 0.00, 0.00, 0.12, 0.51, 0.39, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
12, 0, 0.367, 0.93, 1, 0.00, 0.00, 0.76, 0.00, 0.00, 1.57, 0.00, 1.11, 0.27, 0.00, 0.50, 0.37, 0.00, 0.00, 0.24, 0.51, 0.34, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
13, 0, 0.400, 0.98, 1, 0.00, 0.00, 0.68, 0.00, 0.03, 1.83, 0.03, 1.01, 0.23, 0.00, 0.50, 0.46, 0.00, 0.00, 0.28, 0.53, 0.41, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
14, 0, 0.434, 0.98, 1, 0.00, 0.00, 0.59, 0.00, 0.04, 1.82, 0.03, 0.96, 0.19, 0.00, 0.50, 0.43, 0.00, 0.00, 0.34, 0.62, 0.53, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
15, 0, 0.467, 0.98, 1, 0.00, 0.00, 0.53, 0.00, 0.10, 1.86, 0.04, 0.89, 0.22, 0.00, 0.46, 0.44, 0.00, 0.00, 0.23, 0.61, 0.72, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
16, 0, 0.501, 0.93, 1, 0.00, 0.00, 0.55, 0.00, 0.16, 1.75, 0.01, 0.78, 0.26, 0.00, 0.40, 0.33, 0.00, 0.00, 0.20, 0.69, 0.70, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
17, 0, 0.534, 0.98, 1, 0.00, 0.00, 0.58, 0.00, 0.29, 1.95, 0.01, 0.67, 0.32, 0.00, 0.29, 0.23, 0.00, 0.00, 0.15, 0.79, 0.73, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
18, 0, 0.567, 0.98, 1, 0.00, 0.00, 0.63, 0.00, 0.37, 1.82, 0.00, 0.61, 0.32, 0.00, 0.21, 0.16, 0.00, 0.00, 0.20, 0.89, 0.66, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00
19, 0, 0.601, 0.98, 1, 0.00, 0.00, 0.70, 0.00, 0.42, 1.85, 0.00, 0.58, 0.32, 0.00, 0.12, 0.10, 0.00, 0.00, 0.21, 0.96, 0.89, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
20, 0, 0.634, 0.98, 1, 0.00, 0.00, 0.74, 0.00, 0.41, 1.78, 0.00, 0.53, 0.31, 0.00, 0.07, 0.06, 0.00, 0.00, 0.26, 1.00, 0.92, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
