frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.88, 1, 0.00, 0.00, 1.19, 0.42, 0.00, 0.00, 1.75, 1.27, 0.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.46, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2, 0, 0.033, 0.98, 1, 0.00, 0.00, 0.92, 0.23, 0.00, 0.03, 1.21, 1.40, 0.66, 0.00, 0.03, 0.00, 0.00, 0.09, 0.00, 0.51, 0.34, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3, 0, 0.067, 0.98, 1, 0.00, 0.00, 0.84, 0.09, 0.00, 0.04, 0.73, 1.70, 0.99, 0.00, 0.06, 0.00, 0.00, 0.09, 0.00, 0.43, 0.66, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
4, 0, 0.100, 0.98, 1, 0.17, 0.08, 1.16, 0.00, 0.00, 0.04, 0.43, 2.16, 1.18, 0.18, 0.06, 0.00, 0.00, 0.00, 0.00, 0.24, 0.79, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
5, 0, 0.133, 0.98, 1, 0.32, 0.22, 1.48, 0.00, 0.00, 0.01, 0.12, 2.53, 1.24, 0.41, 0.03, 0.02, 0.00, 0.00, 0.00, 0.14, 0.61, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
6, 0, 0.167, 0.98, 1, 0.50, 0.22, 1.73, 0.00, 0.00, 0.00, 0.04, 2.68, 1.29, 0.70, 0.00, 0.05, 0.00, 0.00, 0.00, 0.18, 0.45, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
7, 0, 0.200, 0.98, 1, 0.52, 0.14, 1.69, 0.00, 0.00, 0.00, 0.06, 2.63, 1.28, 0.85, 0.03, 0.05, 0.00, 0.00, 0.00, 0.34, 0.55, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
8, 0, 0.234, 0.98, 1, 0.53, 0.04, 1.66, 0.00, 0.00, 0.00, 0.06, 2.61, 1.28, 0.93, 0.05, 0.04, 0.00, 0.00, 0.00, 0.41, 0.65, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
9, 0, 0.267, 0.98, 1, 0.48, 0.11, 1.63, 0.00, 0.00, 0.00, 0.04, 2.62, 1.27, 0.91, 0.09, 0.00, 0.00, 0.00, 0.00, 0.48, 0.72, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
10, 0, 0.300, 0.98, 1, 0.44, 0.19, 1.61, 0.00, 0.00, 0.00, 0.00, 2.62, 1.24, 0.86, 0.06, 0.00, 0.00, 0.00, 0.00, 0.54, 0.71, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
11, 0, 0.334, 0.98, 1, 0.40, 0.23, 1.61, 0.00, 0.00, 0.00, 0.01, 2.60, 1.22, 0.78, 0.04, 0.00, 0.00, 0.00, 0.00, 0.62, 0.71, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
12, 0, 0.367, 0.98, 1, 0.38, 0.25, 1.60, 0.00, 0.00, 0.00, 0.01, 2.57, 1.22, 0.83, 0.00, 0.00, 0.00, 0.00, 0.00, 0.54, 0.70, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
13, 0, 0.400, 0.98, 1, 0.39, 0.31, 1.61, 0.00, 0.00, 0.00, 0.01, 2.60, 1.24, 0.84, 0.03, 0.00, 0.00, 0.00, 0.00, 0.50, 0.72, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
14, 0, 0.434, 0.98, 1, 0.40, 0.34, 1.61, 0.00, 0.00, 0.00, 0.00, 2.62, 1.28, 0.85, 0.06, 0.01, 0.00, 0.00, 0.02, 0.46, 0.74, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
15, 0, 0.467, 0.98, 1, 0.46, 0.31, 1.57, 0.00, 0.00, 0.00, 0.00, 2.62, 1.27, 0.80, 0.21, 0.01, 0.00, 0.00, 0.03, 0.44, 0.64, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
16, 0, 0.501, 0.98, 1, 0.50, 0.28, 1.53, 0.00, 0.00, 0.00, 0.00, 2.57, 1.27, 0.85, 0.36, 0.01, 0.00, 0.00, 0.04, 0.37, 0.49, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
17, 0, 0.534, 0.98, 1, 0.55, 0.19, 1.49, 0.00, 0.00, 0.00, 0.00, 2.57, 1.27, 0.92, 0.45, 0.00, 0.00, 0.00, 0.02, 0.37, 0.38, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
18, 0, 0.567, 0.98, 1, 0.58, 0.22, 1.47, 0.00, 0.00, 0.00, 0.00, 2.57, 1.27, 0.91, 0.40, 0.01, 0.00, 0.00, 0.03, 0.39, 0.38, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
19, 0, 0.601, 0.98, 1, 0.60, 0.26, 1.41, 0.00, 0.00, 0.00, 0.00, 2.62, 1.29, 0.87, 0.33, 0.01, 0.00, 0.00, 0.02, 0.43, 0.41, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
20, 0, 0.634, 0.98, 1, 0.62, 0.30, 1.35, 0.00, 0.00, 0.00, 0.00, 2.58, 1.30, 0.84, 0.36, 0.02, 0.00, 0.00, 0.05, 0.42, 0.35, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
21, 0, 0.667, 0.98, 1, 0.58, 0.28, 1.34, 0.00, 0.00, 0.00, 0.00, 2.59, 1.33, 0.84, 0.37, 0.02, 0.00, 0.00, 0.09, 0.47, 0.35, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
22, 0, 0.701, 0.98, 1, 0.58, 0.21, 1.37, 0.00, 0.00, 0.00, 0.00, 2.57, 1.34, 0.83, 0.33, 0.11, 0.00, 0.00, 0.11, 0.55, 0.34, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
23, 0, 0.734, 0.98, 1, 0.55, 0.29, 1.42, 0.00, 0.00, 0.00, 0.00, 2.57, 1.32, 0.86, 0.30, 0.17, 0.00, 0.00, 0.12, 0.65, 0.42, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
24, 0, 0.767, 0.98, 1, 0.57, 0.38, 1.48, 0.00, 0.00, 0.00, 0.03, 2.59, 1.33, 0.91, 0.34, 0.22, 0.00, 0.00, 0.09, 0.73, 0.42, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
