frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.31, 0.51, 0.00, 0.00, 0.26, 1.17, 0.34, 0.23, 0.30, 0.54, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
2, 0, 0.037, 0.98, 1, 0.00, 0.00, 0.01, 0.00, 0.00, 0.00, 0.26, 0.72, 0.02, 0.25, 0.49, 1.04, 0.24, 0.08, 0.24, 0.48, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
3, 0, 0.074, 0.98, 1, 0.00, 0.00, 0.01, 0.00, 0.00, 0.00, 0.21, 0.81, 0.04, 0.37, 0.62, 0.93, 0.21, 0.00, 0.23, 0.44, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
4, 0, 0.111, 0.98, 1, 0.00, 0.00, 0.01, 0.00, 0.00, 0.00, 0.17, 0.92, 0.04, 0.29, 0.60, 0.97, 0.24, 0.00, 0.22, 0.42, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
5, 0, 0.148, 0.98, 1, 0.00, 0.00, 0.01, 0.00, 0.00, 0.00, 0.16, 1.02, 0.02, 0.30, 0.58, 1.09, 0.31, 0.00, 0.11, 0.47, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
6, 0, 0.185, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.15, 1.08, 0.00, 0.27, 0.60, 1.15, 0.32, 0.00, 0.05, 0.48, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
7, 0, 0.222, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.16, 0.99, 0.00, 0.37, 0.63, 1.10, 0.34, 0.00, 0.06, 0.46, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
8, 0, 0.259, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.19, 0.86, 0.00, 0.42, 0.65, 1.04, 0.26, 0.00, 0.10, 0.38, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
9, 0, 0.296, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.23, 0.78, 0.00, 0.46, 0.63, 1.03, 0.24, 0.00, 0.12, 0.34, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
10, 0, 0.333, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.16, 0.78, 0.00, 0.50, 0.68, 0.94, 0.21, 0.00, 0.24, 0.29, 0.40, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
