frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.98, 1, 0.42, 0.00, 1.98, 0.00, 0.08, 1.19, 0.17, 0.15, 0.00, 0.00, 0.00, 0.73, 0.00, 0.20, 0.08, 0.45, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
2, 0, 0.033, 0.98, 1, 0.14, 0.00, 1.24, 0.00, 0.18, 0.40, 0.06, 0.51, 0.17, 0.18, 0.00, 0.63, 0.00, 0.07, 0.53, 0.37, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3, 0, 0.067, 0.98, 1, 0.00, 0.00, 0.76, 0.00, 0.21, 0.00, 0.00, 0.76, 0.29, 0.33, 0.00, 0.60, 0.00, 0.00, 0.77, 0.29, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
4, 0, 0.100, 0.98, 1, 0.00, 0.00, 0.71, 0.00, 0.22, 0.00, 0.00, 0.84, 0.32, 0.30, 0.01, 0.60, 0.00, 0.00, 0.73, 0.16, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5, 0, 0.133, 0.98, 1, 0.00, 0.00, 0.53, 0.00, 0.21, 0.00, 0.00, 0.98, 0.33, 0.36, 0.01, 0.57, 0.00, 0.00, 0.78, 0.20, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6, 0, 0.167, 0.98, 1, 0.00, 0.00, 0.40, 0.00, 0.26, 0.00, 0.00, 1.08, 0.40, 0.44, 0.19, 0.55, 0.00, 0.00, 0.84, 0.34, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7, 0, 0.200, 0.98, 1, 0.00, 0.00, 0.17, 0.00, 0.29, 0.00, 0.00, 1.15, 0.45, 0.66, 0.29, 0.62, 0.00, 0.00, 0.88, 0.53, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8, 0, 0.233, 0.98, 1, 0.00, 0.00, 0.06, 0.00, 0.36, 0.00, 0.10, 1.21, 0.57, 0.99, 0.31, 0.63, 0.00, 0.00, 0.79, 0.61, 0.03, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9, 0, 0.267, 0.98, 1, 0.00, 0.00, 0.07, 0.00, 0.42, 0.00, 0.14, 1.35, 0.64, 1.36, 0.13, 0.64, 0.00, 0.00, 0.80, 0.81, 0.03, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10, 0, 0.300, 0.98, 1, 0.00, 0.00, 0.19, 0.00, 0.55, 0.00, 0.17, 1.49, 0.76, 1.89, 0.05, 0.74, 0.00, 0.00, 0.98, 1.16, 0.06, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
11, 0, 0.333, 0.98, 1, 0.00, 0.00, 0.58, 0.00, 0.60, 0.10, 0.14, 1.44, 0.72, 1.97, 0.11, 0.77, 0.00, 0.00, 1.27, 1.37, 0.08, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
