frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 1.45, 0.21, 0.22, 2.13, 1.41, 1.66, 0.00, 0.55, 0.00, 0.00, 0.00, 0.00, 0.32, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2, 0, 0.042, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 1.30, 0.17, 0.07, 2.01, 1.42, 1.72, 0.00, 0.65, 0.00, 0.00, 0.44, 0.00, 0.38, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3, 0, 0.083, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 1.24, 0.28, 0.00, 2.05, 1.44, 1.65, 0.00, 0.68, 0.00, 0.00, 0.62, 0.00, 0.39, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4, 0, 0.125, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 1.30, 0.26, 0.00, 2.02, 1.41, 1.56, 0.00, 0.57, 0.00, 0.00, 0.60, 0.00, 0.35, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5, 0, 0.167, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 1.38, 0.51, 0.00, 2.03, 1.43, 1.51, 0.07, 0.51, 0.00, 0.00, 0.64, 0.00, 0.25, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6, 0, 0.208, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 1.48, 0.57, 0.00, 1.96, 1.44, 1.69, 0.07, 0.59, 0.00, 0.00, 0.59, 0.00, 0.20, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7, 0, 0.250, 0.98, 1, 0.00, 0.20, 0.22, 0.00, 1.49, 0.97, 0.04, 2.08, 1.39, 2.16, 0.53, 0.74, 0.00, 0.00, 0.66, 0.00, 0.16, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8, 0, 0.292, 0.98, 1, 0.13, 0.45, 0.54, 0.00, 1.52, 1.05, 0.04, 2.09, 1.21, 2.86, 1.17, 0.74, 0.00, 0.00, 0.80, 0.16, 0.11, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9, 0, 0.333, 0.98, 1, 0.50, 0.74, 0.78, 0.00, 1.32, 1.27, 0.04, 1.95, 0.95, 3.24, 1.49, 0.53, 0.00, 0.00, 1.23, 0.16, 0.04, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10, 0, 0.375, 0.77, 1, 0.51, 0.54, 1.12, 0.26, 1.34, 1.11, 0.00, 1.98, 0.83, 2.72, 1.04, 0.82, 0.12, 0.00, 1.47, 0.16, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
