frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.93, 1, 2.81, 3.08, 0.79, 1.28, 0.00, 1.49, 0.00, 0.00, 0.00, 0.00, 0.00, 2.12, 0.69, 0.02, 0.50, 1.03, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00
2, 0, 0.033, 0.98, 1, 2.92, 3.22, 0.92, 1.18, 0.00, 1.53, 0.00, 0.00, 0.00, 0.00, 0.00, 2.03, 0.58, 0.01, 0.54, 1.08, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00
3, 0, 0.067, 0.98, 1, 3.03, 3.32, 1.00, 1.22, 0.00, 1.66, 0.00, 0.00, 0.00, 0.00, 0.00, 1.99, 0.54, 0.00, 0.56, 1.08, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00
4, 0, 0.100, 0.98, 1, 3.14, 3.26, 1.08, 1.33, 0.00, 1.73, 0.00, 0.00, 0.00, 0.00, 0.00, 1.97, 0.50, 0.00, 0.61, 1.07, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00
5, 0, 0.133, 0.98, 1, 3.12, 3.32, 1.07, 1.39, 0.00, 1.61, 0.00, 0.00, 0.00, 0.00, 0.00, 2.02, 0.50, 0.00, 0.58, 1.05, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00
6, 0, 0.167, 0.98, 1, 3.09, 3.44, 1.08, 1.32, 0.00, 1.48, 0.00, 0.00, 0.00, 0.00, 0.00, 2.04, 0.47, 0.00, 0.56, 1.08, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00
7, 0, 0.200, 0.98, 1, 3.05, 3.53, 1.06, 1.30, 0.00, 1.45, 0.00, 0.00, 0.00, 0.00, 0.00, 2.03, 0.49, 0.00, 0.51, 1.06, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00
8, 0, 0.234, 0.98, 1, 3.05, 3.50, 1.09, 1.40, 0.00, 1.53, 0.00, 0.00, 0.00, 0.00, 0.00, 1.93, 0.49, 0.00, 0.47, 1.05, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00
9, 0, 0.267, 0.98, 1, 3.02, 3.33, 1.11, 1.43, 0.00, 1.56, 0.00, 0.00, 0.00, 0.00, 0.00, 1.88, 0.49, 0.00, 0.49, 1.00, 0.04, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00
10, 0, 0.300, 0.98, 1, 2.97, 3.21, 1.10, 1.37, 0.00, 1.58, 0.00, 0.00, 0.00, 0.00, 0.00, 1.92, 0.47, 0.00, 0.47, 1.00, 0.04, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00
